client_id,client_name,service_month,count_eligible_primary_members,num_unique_claims_medical,num_unique_claims_rx,num_service_lines_medical,num_service_lines_rx,total_plan_pay_medical,total_plan_pay_rx,total_garner_incentive_paid_medical,total_garner_incentive_paid_rx
1,Client-A,2023-12-01,320,1249,558,2854,1070,300458.52,58184.45,10338.61,1405.74
1,Client-A,2024-01-01,325,1537,572,3292,1102,313810.6,62068.41,10758.5,2548.77
1,Client-A,2024-02-01,323,1732,549,3735,1045,202704.21,42483.16,7423.77,1731.64
1,Client-A,2024-03-01,319,1560,601,3605,1036,410918.22,82792.19,13162.84,2243.57
1,Client-A,2024-04-01,323,1464,584,3236,979,338457.67,72529.55,15397.21,2353.68
1,Client-A,2024-05-01,316,1401,542,3150,1092,379520.3,72708.27,15164.35,2378.63
1,Client-A,2024-06-01,321,1365,608,3300,991,287526.94,54843.49,9780.22,1206.15
1,Client-A,2024-07-01,326,1552,443,4006,886,341487.18,46361.36,12840.36,1897.42
1,Client-A,2024-08-01,320,1193,503,1195,964,289025.32,63330.82,8799.57,2608.84
1,Client-A,2024-09-01,313,1146,484,1146,967,193770.76,40576.73,7857.89,1471.84
1,Client-A,2024-10-01,331,1587,462,3647,924,250730.86,82468.93,12762.78,2776.82
1,Client-A,2024-11-01,321,1498,510,3593,886,365095.84,58359.55,11286.25,2103.94
1,Client-A,2024-12-01,334,1784,653,4206,1181,348730.9,89215.26,12369.17,3452.77
1,Client-A,2025-01-01,332,1646,594,3997,1165,285256.73,92210.72,12759.55,4297.82
1,Client-A,2025-02-01,329,1594,646,3103,1126,304995.48,62100.28,12110.37,1995.63
1,Client-A,2025-03-01,349,1787,830,3858,1493,436871.88,110482.83,13111.79,1961.51
1,Client-A,2025-04-01,330,1149,561,2582,1082,209180.25,62321.73,7682.94,1878.19
1,Client-A,2025-05-01,337,1506,579,3758,1043,272486.11,61168.1,4709.28,2120.89
1,Client-A,2025-06-01,348,1503,536,3464,971,355614.13,63218.46,12977.79,2368.94
