client_name,service_month,affected_metrics,confidence,notes
Client-B,2023-06-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-B,2023-07-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-B,2023-08-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-B,2023-09-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-B,2023-10-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-B,2023-11-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-B,2023-12-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-B,2024-01-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-B,2024-02-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2023-06-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"6393 medical claims but payment is nan | 4259 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2023-07-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"5735 medical claims but payment is nan | 3881 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2023-08-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"6202 medical claims but payment is nan | 4382 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2023-09-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"5976 medical claims but payment is nan | 3986 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2023-10-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"5863 medical claims but payment is nan | 4503 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2023-11-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"6219 medical claims but payment is nan | 3191 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2023-12-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"5221 medical claims but payment is nan | 3171 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2024-01-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"4610 medical claims but payment is nan | 3526 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2024-02-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"4553 medical claims but payment is nan | 3748 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2024-03-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"4423 medical claims but payment is nan | 3447 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2024-04-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"5149 medical claims but payment is nan | 3875 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2024-05-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"5182 medical claims but payment is nan | 3696 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2024-06-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"5193 medical claims but payment is nan | 4548 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2024-07-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"5086 medical claims but payment is nan | 4619 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2024-08-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"5819 medical claims but payment is nan | 5016 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2024-09-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"6325 medical claims but payment is nan | 4647 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2024-10-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"6592 medical claims but payment is nan | 3278 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2024-11-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"4734 medical claims but payment is nan | 3355 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2024-12-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"3969 medical claims but payment is nan | 3375 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2025-01-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"4376 medical claims but payment is nan | 3017 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2025-02-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"4529 medical claims but payment is nan | 4005 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2025-03-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"4588 medical claims but payment is nan | 3782 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2025-04-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"4794 medical claims but payment is nan | 2748 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2025-05-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"5956 medical claims but payment is nan | 3255 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2025-06-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"5254 medical claims but payment is nan | 3553 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2025-07-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"5685 medical claims but payment is nan | 3275 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2025-08-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"5658 medical claims but payment is nan | 3810 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2025-09-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"4584 medical claims but payment is nan | 4194 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2025-10-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"5107 medical claims but payment is nan | 3299 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2025-11-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"4907 medical claims but payment is nan | 2769 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2025-12-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"4530 medical claims but payment is nan | 3476 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2026-01-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"5005 medical claims but payment is nan | 3710 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2026-02-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"4537 medical claims but payment is nan | 3050 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2026-03-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"4986 medical claims but payment is nan | 3273 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-C,2026-04-01,"num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"4785 medical claims but payment is nan | 3795 RX claims but payment is nan | missing: total_plan_pay_medical, total_plan_pay_rx"
Client-E,2023-06-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-E,2023-07-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-E,2023-08-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-E,2023-09-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-E,2023-10-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-E,2023-11-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-E,2023-12-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-E,2024-01-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-E,2024-02-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-E,2024-03-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-E,2024-04-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-E,2024-05-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-E,2024-06-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-E,2024-07-01,"total_plan_pay_medical,total_plan_pay_rx",high,"missing: total_plan_pay_medical, total_plan_pay_rx"
Client-G,2023-06-01,"count_eligible_primary_members,num_service_lines_medical,num_service_lines_rx,num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"members=nan but activity in: num_unique_claims_medical, num_unique_claims_rx, num_service_lines_medical, num_service_lines_rx, total_plan_pay_medical, total_plan_pay_rx | missing: count_eligible_primary_members"
Client-G,2023-07-01,"count_eligible_primary_members,num_service_lines_medical,num_service_lines_rx,num_unique_claims_medical,num_unique_claims_rx,total_plan_pay_medical,total_plan_pay_rx",high,"members=nan but activity in: num_unique_claims_medical, num_unique_claims_rx, num_service_lines_medical, num_service_lines_rx, total_plan_pay_medical, total_plan_pay_rx | missing: count_eligible_primary_members"
